# mu sigma alow ahigh nlow nhigh logL logPrior
5.513644343531176673e+03 1.611375528447791083e+01 4.465180516148236078e-01 1.336275843136835118e+00 2.631046678354293178e+00 2.897934591524317316e+00 -inf 0.000000000000000000e+00
5.523388679353279258e+03 1.669681827333220170e+01 8.455122943258314150e-01 1.469791581511859402e+00 2.327228506210535119e+00 2.224391840570811851e+00 -inf 0.000000000000000000e+00
5.671348962176693931e+03 2.222180499531049946e+01 7.809799064308959871e-01 1.347927798597767124e+00 2.488621645492757217e+00 2.462796657671603828e+00 -inf 0.000000000000000000e+00
5.584273836228698201e+03 2.750218855142721708e+01 9.318897862849262470e-01 1.988312548249173695e+00 2.910531900837808994e+00 2.088066347337727002e+00 -inf 0.000000000000000000e+00
5.646285488216823069e+03 2.339688064846153637e+01 4.910003843479109342e-01 1.247392345690973681e+00 2.269540338959681769e+00 2.155539288772837736e+00 -inf 0.000000000000000000e+00
5.689328247817514239e+03 1.492855018022203240e+01 1.614183855171877624e-01 1.663351565674181742e+00 2.870750978658197727e+00 2.568621831430859537e+00 -inf 0.000000000000000000e+00
5.594770796243341465e+03 1.322773647019405630e+01 6.083707889001115365e-01 1.044591938964216205e+00 2.733226215443440577e+00 2.078613831983227023e+00 -inf 0.000000000000000000e+00
5.593179395852369453e+03 2.151528446353979263e+01 2.990810723566886820e-01 1.778449814045192312e+00 2.310702750393336835e+00 2.236626059662741639e+00 -inf 0.000000000000000000e+00
5.614585577987992110e+03 3.452856764522205424e+01 4.228103539913147246e-01 1.993688979438209330e+00 2.885521404917593902e+00 2.783149221869752665e+00 -inf 0.000000000000000000e+00
5.636198379627350732e+03 1.133724611061526666e+01 6.111234840352832709e-01 1.699842000836838229e+00 2.962679982091176001e+00 2.475650009829936771e+00 -inf 0.000000000000000000e+00
5.544729230894900866e+03 2.482492283316089043e+01 7.952966065139566165e-01 1.885337166537795817e+00 2.381278977039093192e+00 2.670717954758887291e+00 -inf 0.000000000000000000e+00
5.627565766839209573e+03 2.854038753825021857e+01 8.445863012351534360e-01 1.160700159384470576e+00 2.488941973480387482e+00 2.469353522454118544e+00 -inf 0.000000000000000000e+00
5.594021269767499689e+03 1.883681109652557595e+01 5.724277142767350002e-01 1.011065738064641950e+00 2.517392049587403591e+00 2.666987183686683416e+00 -inf 0.000000000000000000e+00
5.691888424211526399e+03 1.262219604177103527e+01 3.634715409152399213e-01 1.364571524191730667e+00 2.283534191678815883e+00 2.738212053856570627e+00 -inf 0.000000000000000000e+00
5.596961339121398851e+03 1.793116695028032836e+01 5.269821309850960533e-01 1.451784179807698250e+00 2.157022657170520219e+00 2.737610751816047294e+00 -inf 0.000000000000000000e+00
5.550540106337043653e+03 3.290647388786619132e+01 4.498724581822916013e-01 1.884712300635675408e+00 2.804785558258093392e+00 2.359477890873721506e+00 -inf 0.000000000000000000e+00
5.672735691935683462e+03 2.143613693690520705e+01 6.847992894814376452e-01 1.546438170572905779e+00 2.088959640062174827e+00 2.952358817217871412e+00 -inf 0.000000000000000000e+00
5.601079241425721193e+03 2.098488952872435576e+01 1.729634619137807028e-01 1.611847346412956794e+00 2.596368501709438892e+00 2.190382601809453433e+00 -inf 0.000000000000000000e+00
5.676947719177484032e+03 1.771439759861116414e+01 6.260189603948631554e-01 1.853186730008610672e+00 2.427739682639654006e+00 2.178113897403265220e+00 -inf 0.000000000000000000e+00
5.589880823436919854e+03 2.978441708028982404e+01 1.954655039595614152e-01 1.758053183153572840e+00 2.125458527019195909e+00 2.416983581513380219e+00 -inf 0.000000000000000000e+00
5.534808158313219792e+03 2.165641816430793654e+01 5.534192102513815215e-01 1.775727137049206039e+00 2.241134894123258281e+00 2.404833429348419482e+00 -inf 0.000000000000000000e+00
5.595797087949094021e+03 2.616147913311543149e+01 4.953657690380122158e-01 1.350731240834221580e+00 2.982116120624903832e+00 2.000958746654110776e+00 -inf 0.000000000000000000e+00
5.587635920009063739e+03 3.224466764733405455e+01 2.863201288894444141e-01 1.868187466857788026e+00 2.970458993272000470e+00 2.920503133614794855e+00 -inf 0.000000000000000000e+00
5.510321431651556850e+03 2.959483560055752349e+01 1.510759135401711917e-01 1.569796850017186163e+00 2.584856224181058870e+00 2.865017740834471915e+00 -inf 0.000000000000000000e+00
5.693771874128778109e+03 2.688064169795127611e+01 4.701671387795409718e-01 1.871785388313744747e+00 2.306242528441870387e+00 2.527229812110490137e+00 -inf 0.000000000000000000e+00
5.636584235305695074e+03 2.014441181116290025e+01 5.486048050902502249e-01 1.163593395465989611e+00 2.759478436935297374e+00 2.774855119676190363e+00 -inf 0.000000000000000000e+00
5.655744222635916231e+03 1.984549104115620821e+01 1.434525943166892747e-01 1.969784659117386649e+00 2.216472230436737689e+00 2.696333351025851588e+00 -inf 0.000000000000000000e+00
5.624589662996952029e+03 1.807419577866664895e+01 7.304880325913950534e-01 1.831424904547374499e+00 2.766358936614093267e+00 2.636376754832777447e+00 -inf 0.000000000000000000e+00
5.560453546342700974e+03 2.024838821819139412e+01 2.636470576300061208e-01 1.793086881114047459e+00 2.822616183566049486e+00 2.061910473162607449e+00 -inf 0.000000000000000000e+00
5.675982640754333261e+03 1.921744222490847775e+01 2.344895879740010736e-01 1.131977183416747579e+00 2.534790924532191347e+00 2.544655233886478296e+00 -inf 0.000000000000000000e+00
5.586716239309844241e+03 2.272467380462180131e+01 3.218604264906512191e-01 1.623115796435580904e+00 2.891901953025101779e+00 2.972907184699300931e+00 -inf 0.000000000000000000e+00
5.645588305874082835e+03 1.678104155234362338e+01 6.062468903420786814e-01 1.538105780391787025e+00 2.927508328163698437e+00 2.949751751280963674e+00 -inf 0.000000000000000000e+00
5.541524511294114745e+03 1.978024947924999211e+01 8.234784497320307706e-01 1.200483406588134905e+00 2.313191196984138109e+00 2.416931212701388443e+00 -inf 0.000000000000000000e+00
5.681970093030847238e+03 2.229201498466431985e+01 5.014439263057384188e-01 1.765749528900302456e+00 2.230070815048682764e+00 2.344625669547328872e+00 -inf 0.000000000000000000e+00
5.666172675638339570e+03 2.048511849867264090e+01 8.633334130133337725e-01 1.706154937392167614e+00 2.345551405622342322e+00 2.724795848657088904e+00 -inf 0.000000000000000000e+00
5.580003361655209119e+03 1.884921511123008742e+01 8.348840666076920991e-01 1.190584007367265773e+00 2.272974420047399580e+00 2.588138398917636085e+00 -inf 0.000000000000000000e+00
5.669817539865694016e+03 1.953853534525813984e+01 5.004875197527550723e-01 1.872520178656460921e+00 2.464555848263076054e+00 2.595182364836294830e+00 -inf 0.000000000000000000e+00
5.639398778381192642e+03 1.026090599339149989e+01 3.641052701272636805e-01 1.743962223164249092e+00 2.103265921983242137e+00 2.272075457414828747e+00 -inf 0.000000000000000000e+00
5.575381258540871386e+03 1.021237864304428555e+01 6.346711510131075595e-01 1.806883321547965604e+00 2.816932775176293369e+00 2.535851555550900027e+00 -inf 0.000000000000000000e+00
5.513465772588021537e+03 3.475896458376658416e+01 5.404260971742119724e-01 1.431030637014299334e+00 2.729671952748237373e+00 2.490197688364664597e+00 -inf 0.000000000000000000e+00
5.615964837112503119e+03 1.407630037306155657e+01 2.594532050763334041e-01 1.176214456079584192e+00 2.095927280453999675e+00 2.559538012389214856e+00 -inf 0.000000000000000000e+00
5.688754409967439642e+03 2.202331806361988242e+01 6.627174017614761992e-01 1.468133840689755498e+00 2.279849761554150867e+00 2.909642204683921651e+00 -inf 0.000000000000000000e+00
5.547121041828487250e+03 2.825477587350889053e+01 3.488059913348064423e-01 1.248251209408611562e+00 2.877013089989339356e+00 2.731168510973689845e+00 -inf 0.000000000000000000e+00
5.574638004185928366e+03 1.018588884511312465e+01 8.292139900336759073e-01 1.630652159965196413e+00 2.247032493553211552e+00 2.345535158985880386e+00 -inf 0.000000000000000000e+00
5.584856171221370460e+03 2.231687418613030616e+01 4.930885023954149071e-01 1.608202158921538949e+00 2.922295210592922299e+00 2.835521472279374677e+00 -inf 0.000000000000000000e+00
5.580598151738661727e+03 2.972243791804894286e+01 1.520557949558278832e-01 1.847353293839962385e+00 2.653003423373190284e+00 2.811242434444748639e+00 -inf 0.000000000000000000e+00
5.610389033658992048e+03 2.248429054822943840e+01 5.726410095838059267e-01 1.063793771865406690e+00 2.491459467576179421e+00 2.162691568773170481e+00 -inf 0.000000000000000000e+00
5.608241677948130018e+03 2.587346248152052652e+01 4.834015279543332211e-01 1.490783317294247290e+00 2.890504869608692573e+00 2.069121474718672804e+00 -inf 0.000000000000000000e+00
5.561697447747646038e+03 2.982296908318550166e+01 8.068622837840253581e-01 1.316469884101149734e+00 2.273600738495829443e+00 2.096711190752039489e+00 -inf 0.000000000000000000e+00
5.538014678641274259e+03 3.313537224169967033e+01 4.364163523415027779e-01 1.885279855739853794e+00 2.396769676818287564e+00 2.402588368188350199e+00 -inf 0.000000000000000000e+00
5.686291807284815150e+03 3.340143471851513368e+01 2.144912047824934220e-01 1.401882236576103002e+00 2.023824389066747109e+00 2.734982298343761276e+00 -inf 0.000000000000000000e+00
5.586053973689267877e+03 1.260583221133049392e+01 7.734518677889896665e-01 1.589698244981950115e+00 2.236569990812598885e+00 2.335447498848645775e+00 -inf 0.000000000000000000e+00
5.560266078320234556e+03 2.708074203585603712e+01 6.907865218205779811e-01 1.577345490831476349e+00 2.541455561597503188e+00 2.907371310864726777e+00 -inf 0.000000000000000000e+00
5.553626776972624612e+03 1.304784752866031283e+01 8.031736490528912364e-01 1.721485809393898503e+00 2.820850484299975758e+00 2.760777130045498851e+00 -inf 0.000000000000000000e+00
5.600853232610949817e+03 3.079218447156490868e+01 1.885824202448222464e-01 1.513266634918972731e+00 2.621073592817676268e+00 2.706195858942030519e+00 -inf 0.000000000000000000e+00
5.651293524430380785e+03 1.441765166726370850e+01 3.952360276167421471e-01 1.337009306670387865e+00 2.585785276230891050e+00 2.178478480678941676e+00 -inf 0.000000000000000000e+00
5.623493373102598525e+03 2.488111428427144745e+01 9.571602952094180328e-01 1.162058611367306149e+00 2.966700661030069242e+00 2.267461156663595823e+00 -inf 0.000000000000000000e+00
5.661093460386103288e+03 2.941578130397319057e+01 2.197692155454855079e-01 1.859394322995902016e+00 2.677112639799762217e+00 2.344702223176965195e+00 -inf 0.000000000000000000e+00
5.649116239499056974e+03 2.885657956267424851e+01 3.711621906949603700e-01 1.096743849547547001e+00 2.912208712135613720e+00 2.647278039248081249e+00 -inf 0.000000000000000000e+00
5.626029954530555187e+03 3.345061753839401320e+01 4.472861996178435495e-01 1.849699328227907280e+00 2.126930915857700999e+00 2.398949778815989475e+00 -inf 0.000000000000000000e+00
5.579307684694749696e+03 3.061970791857721608e+01 3.906396621464948149e-01 1.548842000470195046e+00 2.415163138721732938e+00 2.667797970776601524e+00 -inf 0.000000000000000000e+00
5.565972378093251791e+03 2.732938898793450733e+01 3.417408353920084463e-01 1.757329322432358509e+00 2.097149810140404025e+00 2.894983325463574619e+00 -inf 0.000000000000000000e+00
5.521204838986545838e+03 3.012441637593487442e+01 3.687958292370580038e-01 1.086487581008856784e+00 2.545474111518755134e+00 2.147235729371474111e+00 -inf 0.000000000000000000e+00
5.650975010944955102e+03 3.216784438834439896e+01 3.409435423063980064e-01 1.986462875963954877e+00 2.720980985129945573e+00 2.937674094561602445e+00 -inf 0.000000000000000000e+00
